idGrupoTemaInteres,idTemaInteres
4b6943f0-b5ca-4228-8ead-2257391a9f66,ef06a248-e706-4d98-92e7-f6a8956b762c
2894b995-1ec6-4b5c-9a27-fb62fa294a8b,ef06a248-e706-4d98-92e7-f6a8956b762c
5ea6b72e-559d-403a-959a-e0bc87e464c6,ef06a248-e706-4d98-92e7-f6a8956b762c
d511b88f-ebf9-4f01-92cc-beba18b9e38b,0dd57046-8bf3-49a6-9ec5-556385b9e899
d511b88f-ebf9-4f01-92cc-beba18b9e38b,6bcc230c-a736-41bd-b859-8149db146b0d
df570004-c96e-44d6-bf04-6ee6b6b6a90d,0dd57046-8bf3-49a6-9ec5-556385b9e899
df570004-c96e-44d6-bf04-6ee6b6b6a90d,6bcc230c-a736-41bd-b859-8149db146b0d
09b5de43-8f2f-445d-8225-3bd5ba83c3b3,0dd57046-8bf3-49a6-9ec5-556385b9e899
09b5de43-8f2f-445d-8225-3bd5ba83c3b3,6bcc230c-a736-41bd-b859-8149db146b0d
217a0361-7c48-44a8-8ad5-8ec88181097b,04d8d6a7-c069-488b-b554-cf0babdb1fff
217a0361-7c48-44a8-8ad5-8ec88181097b,6bcc230c-a736-41bd-b859-8149db146b0d
ed248bb6-798d-40d3-a60e-68fe7c3415aa,04d8d6a7-c069-488b-b554-cf0babdb1fff
ed248bb6-798d-40d3-a60e-68fe7c3415aa,6bcc230c-a736-41bd-b859-8149db146b0d
dcb64569-7b85-40a9-b527-0fbf35844a30,04d8d6a7-c069-488b-b554-cf0babdb1fff
a6494cf9-0f98-45de-8dba-9a55130cc25f,6bcc230c-a736-41bd-b859-8149db146b0d
a6494cf9-0f98-45de-8dba-9a55130cc25f,04d8d6a7-c069-488b-b554-cf0babdb1fff
5d3fe8d4-0803-47e5-83db-c1530e7e210e,6bcc230c-a736-41bd-b859-8149db146b0d
20accbe5-a96f-4626-8018-e2da6ed8f844,6bcc230c-a736-41bd-b859-8149db146b0d
20accbe5-a96f-4626-8018-e2da6ed8f844,04d8d6a7-c069-488b-b554-cf0babdb1fff
391d7e04-2523-4f81-99b7-012ab5d66255,6bcc230c-a736-41bd-b859-8149db146b0d
391d7e04-2523-4f81-99b7-012ab5d66255,04d8d6a7-c069-488b-b554-cf0babdb1fff
6839ffce-e52e-4405-a149-db4c2ea947bc,6bcc230c-a736-41bd-b859-8149db146b0d
6839ffce-e52e-4405-a149-db4c2ea947bc,04d8d6a7-c069-488b-b554-cf0babdb1fff
b183edaf-b16e-4203-89ec-1d803ab6a865,6bcc230c-a736-41bd-b859-8149db146b0d
28155a8e-8261-4c12-85b6-d04316507706,6bcc230c-a736-41bd-b859-8149db146b0d
62759036-170f-4b85-9c4e-ef6d94e89c63,04d8d6a7-c069-488b-b554-cf0babdb1fff
46c1f860-baca-4075-82fe-c8c1a3afb106,6bcc230c-a736-41bd-b859-8149db146b0d
46c1f860-baca-4075-82fe-c8c1a3afb106,04d8d6a7-c069-488b-b554-cf0babdb1fff
344663c9-5ec1-4428-9dcb-45a9970e1318,6bcc230c-a736-41bd-b859-8149db146b0d
b1e09bee-e340-441b-9a4d-6dc512eed573,04d8d6a7-c069-488b-b554-cf0babdb1fff
29ea87c4-1518-436e-b04b-28c309f9fa3c,04d8d6a7-c069-488b-b554-cf0babdb1fff
29ea87c4-1518-436e-b04b-28c309f9fa3c,6bcc230c-a736-41bd-b859-8149db146b0d
4075380a-9be1-4ba6-aa8d-58a5faea53f1,cf81df12-3657-4a51-873c-9c2f39fd240c
16430089-28ac-45c7-8881-11ade0bd6093,6bcc230c-a736-41bd-b859-8149db146b0d
16430089-28ac-45c7-8881-11ade0bd6093,04d8d6a7-c069-488b-b554-cf0babdb1fff
416733bf-3e71-476b-befb-f04260495657,0dd57046-8bf3-49a6-9ec5-556385b9e899
416733bf-3e71-476b-befb-f04260495657,6bcc230c-a736-41bd-b859-8149db146b0d
9fc8ec45-872d-463d-b7e7-5131286663c3,0dd57046-8bf3-49a6-9ec5-556385b9e899
9fc8ec45-872d-463d-b7e7-5131286663c3,6bcc230c-a736-41bd-b859-8149db146b0d
62502183-34a6-4a1c-8537-42acfa08b864,0dd57046-8bf3-49a6-9ec5-556385b9e899
62502183-34a6-4a1c-8537-42acfa08b864,6bcc230c-a736-41bd-b859-8149db146b0d
7755d2d7-8433-4ae1-8603-f7f65f624472,0dd57046-8bf3-49a6-9ec5-556385b9e899
fd3da40b-b2d0-407f-aa0f-55d17e203892,0dd57046-8bf3-49a6-9ec5-556385b9e899
6250376d-b381-4075-9f17-65ed15e23a54,0dd57046-8bf3-49a6-9ec5-556385b9e899
6250376d-b381-4075-9f17-65ed15e23a54,6bcc230c-a736-41bd-b859-8149db146b0d
