id_grupo_tema_interes,id_tema_interes
ef973f0a-aa82-47d2-83e3-02d141ad7911,f51cb5cf-6196-4da3-a129-927ffe78570e
c5dee168-bf0d-4899-b46c-72c3879c3a5a,f51cb5cf-6196-4da3-a129-927ffe78570e
e6864af0-a6d0-4281-a1b6-1712d731bf9d,f51cb5cf-6196-4da3-a129-927ffe78570e
19a6d223-20f6-488b-9eda-f89fb8e54cf8,f51cb5cf-6196-4da3-a129-927ffe78570e
026408f1-7f15-49c4-987c-212dbbfbd6c7,f51cb5cf-6196-4da3-a129-927ffe78570e
426e7ca0-3684-400d-95a1-25179db4c355,f51cb5cf-6196-4da3-a129-927ffe78570e
15398a96-2bd1-43de-9da4-343d0075135f,f51cb5cf-6196-4da3-a129-927ffe78570e
f787cdd5-90ad-409e-b199-dcf5d12c1182,f51cb5cf-6196-4da3-a129-927ffe78570e
2a63ee63-05f8-469a-aab6-1b648d85730a,f51cb5cf-6196-4da3-a129-927ffe78570e
ba972e3b-6f6d-455e-b4ce-7cfbec1d5572,f51cb5cf-6196-4da3-a129-927ffe78570e
b39c4c88-4e6c-4143-903d-90bb18a81626,f51cb5cf-6196-4da3-a129-927ffe78570e
60e3cc1d-cf91-4d30-8837-fefbe5b8cbb8,f51cb5cf-6196-4da3-a129-927ffe78570e
49c59d6b-a19a-4031-99f7-b7be1b6392e5,f51cb5cf-6196-4da3-a129-927ffe78570e
49c59d6b-a19a-4031-99f7-b7be1b6392e5,b8ccd884-5487-4b89-9543-de34b1d320e4
c84191d9-75aa-4e3f-8bee-685e0f958241,f51cb5cf-6196-4da3-a129-927ffe78570e
7d15017f-bb66-4e7b-b1a0-9e29bd25ca68,f51cb5cf-6196-4da3-a129-927ffe78570e
ff9cbf7b-4c88-42eb-b1ee-8b727318cf4c,f51cb5cf-6196-4da3-a129-927ffe78570e
580b3517-07f4-4abe-bc81-30a913e221a3,f51cb5cf-6196-4da3-a129-927ffe78570e
6c19ba62-7038-411e-a8f5-c8d9821b223f,f51cb5cf-6196-4da3-a129-927ffe78570e
4be18101-6ea9-46f4-bbb0-dc3e842917d6,f51cb5cf-6196-4da3-a129-927ffe78570e
d2d6b771-ca0f-4def-8b5e-01da5b340fb9,f51cb5cf-6196-4da3-a129-927ffe78570e
d10077c5-fbed-4908-b260-83d1d182b48f,f51cb5cf-6196-4da3-a129-927ffe78570e
9ad80bea-bb57-4feb-b27c-e92dc66b699f,f51cb5cf-6196-4da3-a129-927ffe78570e
a81f993c-64dd-4381-82a5-1fcd5700c700,f51cb5cf-6196-4da3-a129-927ffe78570e
c8496c0e-9f8f-4e46-b9ac-1d0b3486a330,f51cb5cf-6196-4da3-a129-927ffe78570e
03f76ecf-59a8-45e8-bfd3-8c1174730cfe,f51cb5cf-6196-4da3-a129-927ffe78570e
8f3b6302-a9d8-46a0-960b-adcf2f3acf73,ba6913e5-ee84-468a-b2f3-f6528651efe3
8f3b6302-a9d8-46a0-960b-adcf2f3acf73,b8ccd884-5487-4b89-9543-de34b1d320e4
33cd7c72-74ce-4111-b39e-32335c936e2e,f51cb5cf-6196-4da3-a129-927ffe78570e
2bc4abbe-3864-4db2-bf5e-f5dc31b86e97,f51cb5cf-6196-4da3-a129-927ffe78570e
2bc4abbe-3864-4db2-bf5e-f5dc31b86e97,b8ccd884-5487-4b89-9543-de34b1d320e4
302b0970-9e71-4a8b-8b68-93f246f94a3b,f51cb5cf-6196-4da3-a129-927ffe78570e
e81f781a-7ff4-4e2a-8934-e466e96e4f15,f51cb5cf-6196-4da3-a129-927ffe78570e
75ba1393-931b-4cd6-8de1-cc0daf61f236,f51cb5cf-6196-4da3-a129-927ffe78570e
60e2f4bd-d7df-4e4a-bfab-b40b66f55e90,f51cb5cf-6196-4da3-a129-927ffe78570e
f2777b60-850d-40dd-8b2c-8268a7746a87,f51cb5cf-6196-4da3-a129-927ffe78570e
2e218a5f-57b7-40aa-9b79-018644990025,f51cb5cf-6196-4da3-a129-927ffe78570e
79733cf5-4322-4618-a888-970ab75b8041,f51cb5cf-6196-4da3-a129-927ffe78570e
ada9149b-083f-4a46-9c78-cf557b1d6bb2,2ec6ca20-db72-4312-90a3-a24c9ee1279c
a30dba60-b9b3-4754-8bba-08509676700c,44d20e53-d8ab-43f6-a84b-9dd330105adf
a30dba60-b9b3-4754-8bba-08509676700c,b8ccd884-5487-4b89-9543-de34b1d320e4
83390523-6632-4dc7-868e-8783c48e043c,44d20e53-d8ab-43f6-a84b-9dd330105adf
ccbc50d0-2502-4172-8267-268795361200,44d20e53-d8ab-43f6-a84b-9dd330105adf
f3e14f52-2e5a-4067-83c6-b0ba19da3593,44d20e53-d8ab-43f6-a84b-9dd330105adf
ff31c4c5-171a-45d1-8cce-48a28240e294,44d20e53-d8ab-43f6-a84b-9dd330105adf
c235d3df-4aba-45ae-a4db-3691246bb02d,44d20e53-d8ab-43f6-a84b-9dd330105adf
a0cda523-32ca-4136-a2cf-de42ea9eeadf,06bd2fb6-b42d-4171-b68b-d80246c672cc
a0cda523-32ca-4136-a2cf-de42ea9eeadf,ba6913e5-ee84-468a-b2f3-f6528651efe3
6c928352-c52f-4f06-9c52-8c944caa80a5,06bd2fb6-b42d-4171-b68b-d80246c672cc
6c928352-c52f-4f06-9c52-8c944caa80a5,ba6913e5-ee84-468a-b2f3-f6528651efe3
5db69798-d88a-4a4a-b624-e4ac133ac117,06bd2fb6-b42d-4171-b68b-d80246c672cc
5db69798-d88a-4a4a-b624-e4ac133ac117,ba6913e5-ee84-468a-b2f3-f6528651efe3
38ac44a0-4661-43cb-8680-c43cc59bc2b4,b8ccd884-5487-4b89-9543-de34b1d320e4
38ac44a0-4661-43cb-8680-c43cc59bc2b4,ba6913e5-ee84-468a-b2f3-f6528651efe3
5b6f6a6b-bb02-4a2a-969b-1ab54e1a0aa6,b8ccd884-5487-4b89-9543-de34b1d320e4
5b6f6a6b-bb02-4a2a-969b-1ab54e1a0aa6,ba6913e5-ee84-468a-b2f3-f6528651efe3
26d3048b-7076-4f7b-861b-5a5303f7770d,b8ccd884-5487-4b89-9543-de34b1d320e4
e27bd82f-d8f9-48ce-a4c7-d78d5cdd3dd5,ba6913e5-ee84-468a-b2f3-f6528651efe3
e27bd82f-d8f9-48ce-a4c7-d78d5cdd3dd5,b8ccd884-5487-4b89-9543-de34b1d320e4
de7dd8c5-9b8d-414c-be6b-79c2e6848ae8,ba6913e5-ee84-468a-b2f3-f6528651efe3
d5261c69-6fae-418f-ab2f-570a9b9d56b8,ba6913e5-ee84-468a-b2f3-f6528651efe3
d5261c69-6fae-418f-ab2f-570a9b9d56b8,b8ccd884-5487-4b89-9543-de34b1d320e4
09799fd2-1bd4-4966-9a57-f4f2c5f861fa,ba6913e5-ee84-468a-b2f3-f6528651efe3
09799fd2-1bd4-4966-9a57-f4f2c5f861fa,b8ccd884-5487-4b89-9543-de34b1d320e4
44803573-d6be-434d-b888-2d3aa431611d,ba6913e5-ee84-468a-b2f3-f6528651efe3
44803573-d6be-434d-b888-2d3aa431611d,b8ccd884-5487-4b89-9543-de34b1d320e4
d38c0bea-4b22-46f9-836d-d90c1796bdc2,ba6913e5-ee84-468a-b2f3-f6528651efe3
2912bcca-a184-49c6-9269-59bbbc67bf4e,ba6913e5-ee84-468a-b2f3-f6528651efe3
bf73bb1d-d957-4ca1-8445-f09681f00584,b8ccd884-5487-4b89-9543-de34b1d320e4
d97ff62e-c890-4c83-b01d-cf473b29696a,ba6913e5-ee84-468a-b2f3-f6528651efe3
d97ff62e-c890-4c83-b01d-cf473b29696a,b8ccd884-5487-4b89-9543-de34b1d320e4
3996afdd-4358-4aed-a913-825086699137,ba6913e5-ee84-468a-b2f3-f6528651efe3
e6ce888f-d12b-44ac-ae2c-e5b6d0fa4400,b8ccd884-5487-4b89-9543-de34b1d320e4
d3f3dcee-2a12-4e26-a400-a1f08d8ef9b1,b8ccd884-5487-4b89-9543-de34b1d320e4
d3f3dcee-2a12-4e26-a400-a1f08d8ef9b1,ba6913e5-ee84-468a-b2f3-f6528651efe3
